url,text,posted_at,total_reactions
https://www.linkedin.com/posts/kevinjosephmoore_serac-ventures-year-in-review-2024-was-activity-7282870750791790594-OASd?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"Serac Ventures - Year in Review

2024 was a successful year for Serac Ventures. We knew starting out that we would be operating in a challenging market (especially from a fundraising perspective) but also reasoned that the cyclicality of the market could work to our advantage. For one, there was a tremendous amount of competition for institutional investors, many of whom are being pursued by established managers. As a small firm, this didn’t matter to us because we weren’t targeting those groups anyway. Secondarily, founder valuations and terms (at the seed stage) have been great for us. We invested in eight (8) companies this year (which was 100% of our target/goal), despite lowering our desired initial investment size. In most cases we were not the largest investor in a round, but we were able to get the same favorable terms as other investors. This would potentially be harder in a “bull” venture market.

From a marketing perspective, we introduced the venture capital asset class to many new investors and successfully added them to our group of highly valued LPs. Just under 70% of our LPs have never invested in a venture capital fund before and nearly 40% came from underrepresented groups. We are extremely grateful for ALL of our supporters, but the democratization of capital starts with access to economic opportunity. As such, we are super excited about demystifying venture capital to make it more accessible to those who may otherwise overlook the asset class.

In 2024, we were able to interact with nearly 4000 founders, either through our inbound or outbound deal sourcing efforts, in-person events, or through our GetFunded weekly office hours sessions (https://lu.ma/getfunded). It’s impossible to invest in every founder we meet, but we believe in adding as much value as we can to help founders along their journey.

Finally, we have no predictions about what’s to come in 2025. All we can do is focus on the things we can control – our attitude, activity, and contribution to founders and investors. 

We are extremely fortunate to get to do this work, so to all our founders, investors, VC friends, and ecosystem builders, we THANK YOU.

Here’s to 2025!

Picture below (L to R) Darrel Frater ✝️, Kevin Moore, and Devin Brown.

Additional Serac Team: Chris Tsakalakis, Brayden Vanover, Brylan Donaldson",2025-01-08 22:28:16,166
https://www.linkedin.com/posts/kevinjosephmoore_i-had-a-great-time-attending-the-techchicago-activity-7223683737916518401-RR_2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"I had a great time attending the TechChicago Week events in Chicago last week. As a former resident of Chicago, the city is like a second home to me. Every time I visit the city ""feels"" the same (in a familiar way) but at the same time it continues to evolve and reinvent itself. I was especially intrigued by the growth of the VC and entrepreneurial ecosystem that has blossomed over the last 10+ years. I have always known about long-time, established VC firms like Hyde Park Ventures and Chicago Ventures. But I was pleased to meet (and reconnect with) several other firms such as M25 Ventures, 1011 VC, Capitalize VC, Rushless For Good, Sandalphon Capital, ATOMS VC, JumpCapital  and Lightbank Ventures (and many others). I also met several founders building high-growth technologies in the biotech, healthcare, hospitality, enterprise SaaS, and fintech sectors. 

I don't know how many VCs and founders you need to have a thriving ecosystem, but I'd say that Chicago has it and continues to trend in the right direction.",2024-07-29 15:40:12,135
https://www.linkedin.com/posts/kevinjosephmoore_diversevc2024-activity-7243280337823285248-UBAj?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"Sometimes people ask me what it takes to run a venture capital firm and I tell them that while it's a lot of fun, it's also a lot of work. For those of us in the VC industry, we all know that there are periods when you spend extended time away on the road at conferences, events, and meeting with founders and LPs. It's a necessary part of the job that you learn to embrace. 

In this post, I thought I'd provide some behind the scenes info of life on the road. 

Monday & Tuesday: On my most recent trip, I flew to Chicago on a Monday evening and on Tuesday I had meetings all day with prospective investors. Immediately thereafter, Brylan Donaldson and I hosted a two-hour, open-house, founder pitch event where we met some amazing Chicago-based founders. To cap off the day, I had the privilege of attending the Black Executive Network dinner hosted by Cooley LLP and met some amazing individuals such as Sidney Peryar, Raymond Rushing, Bobby Earles, and Travis LeBlanc.

Wednesday: I left Chicago on a 5am flight and flew to Dallas where I had the privilege of getting in a morning work out with Lincoln C. Singleton, who I consider one of the sharpest and nicest human beings in the private markets industry. After working out, I attended a series of investor meetings throughout the day and went to the airport that evening to catch a flight to San Francisco.

Thursday: While in San Francisco, I attended the #DiverseVC2024 event hosted by Tim Hsia & Neil Devani. The event was very well attended and all of the panels and panelists were great. Events like these are great for getting face time with LPs and meeting or reconnecting with my VC peers. I also had the chance to connect with one of my Serac Ventures colleagues, Chris Tsakalakis, who lives in San Francisco.

Friday: I said goodbye to SF and jumped on a plane back to OKC. 

This was a fun trip. Over a period of ~3.5 days, I had 15 meetings, attended 2 conferences, and traveled more than 4500 miles (by plane). Traveling like this can be taxing, but I feel extremely fortunate and blessed to get to build Serac Ventures and to do it with great people (Darrel Frater ✝️, Chris Tsakalakis, Brayden Vanover, Devin Brown). Let's keep building!",2024-09-21 17:30:06,124
https://www.linkedin.com/posts/kevinjosephmoore_serac-ventures-hosted-its-first-dining-with-activity-7238248191836442624-lM44?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"Serac Ventures hosted its first ""Dining with Doctors"" private dinner with existing and potential LPs.  It was a great opportunity for Serac LPs to mingle with one another and also network with others in the medical community.  The event was a great success and we look forward to doing it again soon.  Cartic Vengkatraman Jennifer Collins Ross Vanhooser MD Shelby Vanhooser Jamie Spann Senthil Raju MD CWSP",2024-09-07 20:14:09,115
https://www.linkedin.com/posts/kevinjosephmoore_vcdayokc-activity-7161567980626141186-l_xC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"Thank you to everyone including the VCs, LPs, founders, and ecosystem builders for coming out to #VCDayOKC. The purpose of VC Day is to build connections in a low-pressure environment to make VC more accessible to all. 

Thank you to Scott McLain, Derek Green, Jon McNaught, & Kevin Fischman who shared some great insights on the LP panel. A few takeaways for founders: 

1). Keep your pitch short.
2). Spend more time telling investors ""who"" you are and not just ""what"" you do.  
3). Stay focused on what you do best and don't try too many things at once.
4). And most importantly, focus on the relationship not just the sale. A ""no"" now could lead to a ""yes"" later.

Thank you to Matt Hickman, Anita Ly, & Matt Waraich who all did a great job on the VC panel. A few takeaways for founders: 

1). Be clear about why you believe YOU are the best person to solve the problem you're trying to solve.  
2). KNOW your numbers and clearly articulate how you plan to make money.
3). Fortune favors the bold! Be confident and take risks, but stay humble and open to advice. 

I also want to thank our sponsors, Peter Mullen at Regent Bank and Jake Ornstein at Orrick, Herrington & Sutcliffe LLP. We greatly appreciate your support!

Lastly, huge shout out to Cindy Ho at Stout Street Capital and to my team at Serac Ventures - Darrel Frater, MBA ✝️, Whitney Kovash, & Brayden Vanover - for making this event a huge success.",2024-02-09 04:54:22,92
https://www.linkedin.com/posts/kevinjosephmoore_i-had-a-great-trip-to-san-francisco-this-activity-7326671045212409856-jDzU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"I had a great trip to San Francisco this week where I attended the Bridge Funding Global conference and also got some valuable face time with Serac port co’s, Podonos & Mappa.    

Thank you Emna Ghariani, Angelina H., Sophia Platt and the entire Bridge Funding Global team for this great and beneficial conference.

✦Soohyun Bae and Sarah Lucena - It was great to meet you IRL and thank you for all you do as founders growing your companies. Keep building!",2025-05-09 20:15:00,91
https://www.linkedin.com/posts/kevinjosephmoore_it-was-wonderful-to-see-this-heartfelt-moment-activity-7189424459483680769-tTLR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"It was wonderful to see this heartfelt moment of the ACT House team honoring former team member, Taleya Mayberry-Smith, at their cohort 5 demo night. This is the embodiment of ""team"" and ""appreciation."" Dominick J. Ard'is, I , keep doing what you do. This was a great event, but seeing this moment was special.",2024-04-26 02:46:04,83
https://www.linkedin.com/posts/darrelfrater_going-to-afrotech-this-year-lets-connect-ugcPost-7256696782301102081-J_uH?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,Going to AFROTECH this year? Let's connect! The Serac Ventures team will be there!,2024-10-28 17:13:03,78
https://www.linkedin.com/posts/kevinjosephmoore_i-enjoyed-having-dinner-yesterday-in-oklahoma-activity-7234969785933905920-N8CH?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"I enjoyed having dinner yesterday in Oklahoma City with Raphael Akinsipe, CEO and founder of SocialCrowd, a Serac Ventures portfolio company. As VCs, I believe it's important that we spend time with founders to understand who they are are as people and what motivates them to succeed. Additionally, I think it's important to invest in people that we like because we'll likely be working them for 5 to 10 years. Thank you, Raphael Akinsipe, for your hard work at Social Crowd and we are grateful to be one of your supporters.",2024-08-29 19:06:56,77
https://www.linkedin.com/posts/browngdevin_serac-ventures-cybersecurity-reportnovember-activity-7262485734312329217-hpoO?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFukPp8BmlQDkDpG4wG0J2rC7opg_dOjTqE,"Introducing Serac Ventures Quarterly Industry Reports! Our first of many in the Series, Cybersecurity.  In the report you will find:
⚡ Why Serac Ventures is BULLISH on Cybersecurity as an investment theme 
 📖 Overview of the Cybersecurity Market Landscape
✏ Our Take on Future CIO/CISO Investment Priorities 
 🔀 The intersection between Fintech & Cybersecurity 
🤝  Venture and M&A Activity in this space 

Link to the report: https://lnkd.in/d-CeBW9J

Let us know your thoughts in the comments! Myself and Serac team Kevin Moore Darrel Frater ✝️Brylan Donaldson Chris Tsakalakis are happy to connect with builders in the space!",2024-11-13 18:22:09,69
